language_name,yesterday,today,tomorrow,the day,the day before yesterday,the day after tomorrow,two days,two days before now,two days after now,four days,four days before now,four days from now,three days,three days before now,three days from now,value_yesterday,value_today,value_tomorrow,value_day_before_yesterday,value_day_after_tomorrow,time_window,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Top_Family,Subfamily,Genus,Country_ID,Family_in_Data,Subgroup,society_ID,society,Glottocode_society,society_language,region,PC1,PC2,PC3,Gathering,Hunting,Fishing,AnimalHusbandry,Agriculture,subsistence_year,...55,Population size [EA202],Population_year,Mean size of local communities [EA031],Family,Population_size
Lithuanian,vakar,šiandien,rytoj,dieną,užvakar,poryt,dvi dienas,prieš dvi dienas,po dviejų dienų,keturias dienas,prieš keturias dienas,keturios dienos nuo dabar,tris dienas,prieš tris dienas,nuo trijų dienų,1,1,1,1,0,1,Eurasia,55,24,lith1251,lit,Indo-European,None,Baltic,LT,Indo-European,None,NA,Lithuanians,lith1251,Lithuanian,Eastern Europe,-0.766275293,0.761509216,-0.384160911,0.025,0.025,0.105,0.405,0.505,NA,NA,217000,1950,50000,Indo-European,50000
Russian,вчера,сегодня,завтра,день,позавчера,послезавтра,два дня,два дня до настоящего момента,два дня после настоящего момента,четыре дня,четыре дня до настоящего момента,четыре дня от настоящего момента,три дня,три дня от настоящего момента,три дня от настоящего момента,1,1,1,1,1,2,Eurasia,56,38,russ1263,rus,Indo-European,None,Slavic,RU,Indo-European,None,SCCS54,Russians,russ1263,Russian,Eastern Europe,-1.313493394,-0.029258223,0.316670588,0.025,0.025,0.025,0.305,0.705,1955,NA,NA,NA,50000,Indo-European,50000
Serbian-Croatian,јуче,данас,сутра,дан,прекјуче,прекосутра,два дана,два дана раније,два дана касније,четири дана,четири дана раније,четири дана од сада,три дана,три дана раније,три дана од сада,1,1,1,1,1,2,Eurasia,44,19,sout1528,hbs,Indo-European,NA,Slavic,RS BA HR,NA,NA,NA,Serbs,serb1264,Serbian Standard,Southeastern Europe,-1.249819275,0.666138049,0.152984961,0.025,0.025,0.025,0.405,0.605,1950,NA,2200,1953,50000,Indo-European,50000
Sinhala,ඊයේ,අද,හෙට,දවස,පෙරේදා,අනිද්දා,දින දෙකක්,දැන් දවස් දෙකකට කලින්,දැන් දවස් දෙකකට පස්සේ,දින හතරක්,දැන් දවස් හතරකට කලින්,දැන් සිට දින හතරක්,දින තුනක්,දැන් දවස් තුනකට කලින්,දැන් සිට දින තුනක්,1,1,1,0,0,0,Eurasia,7,80.5,sinh1246,sin,Indo-European,NA,Indic,LK,NA,NA,Eh6,Sinhalese,sinh1246,Sinhala,Indian Subcontinent,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1950,NA,2157000,1954,50000,Indo-European,50000
Spanish,ayer,hoy,mañana,el día,anteayer,pasado mañana,dos días,dos días antes de ahora,dos días después de ahora,cuatro días,cuatro días antes de ahora,dentro de cuatro días,tres días,tres días antes de ahora,dentro de tres días,1,1,1,1,0.5,1.5,Eurasia,40,-4,stan1288,spa,Indo-European,None,Romance,ES,Indo-European,None,Ce6,Spaniards,stan1288,Spanish,Southwestern Europe,-1.313493394,-0.029258223,0.316670588,0.025,0.025,0.025,0.305,0.705,1950,NA,NA,NA,50000,Indo-European,50000
Ukrainian,вчора,сьогодні,завтра,день,позавчора,післязавтра,два дні,два дні тому,через два дні,чотири дні,чотири дні тому,через чотири дні,три дні,три дні тому,через три дні,1,1,1,1,1,2,Eurasia,49,33,ukra1253,ukr,Indo-European,None,Slavic,UA,Indo-European,None,NA,Ukrainians,east2270,East Ukrainian,Eastern Europe,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1930,NA,NA,NA,50000,Indo-European,50000
Mandarin,昨天,今天,明天,今天,前天,后天,两天,前两天,后两天,四天,前四天,四天后,三天,前三天,后三天,1,1,1,1,1,2,Eurasia,34,110,mand1415,cmn,Sino-Tibetan,NA,Chinese,CN,NA,NA,NA,Shantung,mand1415,Mandarin Chinese,China,-0.893623531,-0.629283328,-0.056789657,0.025,0.025,0.105,0.205,0.705,1930,NA,NA,NA,50000,Sino-Tibetan,50000
Abkhaz,иацы,иахьа,уаҵәы,Амш,иацтәи амш,уаҵәашьҭахьтәи амш,ҩымш,ҩымш раԥхьа,ҩымш рышьҭахь уажәшьҭа,ԥшьымш,Уажәы ԥшьымш раԥхьа,Уажәшьҭа ԥшьымш рышьҭахь,Хымш,Уажәы хымш раԥхьа,Уажәшьҭа хымш рышьҭахь,1,1,1,0,0,0,Eurasia,43.08333333,41,abkh1244,abk,Northwest Caucasian,None,Northwest Caucasian,GE,Abkhaz-Adyge,None,Ci12,Abkhaz,abkh1244,Abkhaz,Caucasus,-0.529498065,2.32256281,0.209370155,0.105,0.025,0.025,0.605,0.305,1880,NA,NA,NA,200-399,Northwest Caucasian,299.5
Qafar(Afar),kimal,asaaku,beera,ayro,kimal naharat tan ayro,beeraak lakal tan ayro,namma ayro,namma ayrok naharal,namma ayrok lakal,affara ayro,affara ayrok naharal,Tawakaak xabba haanam affara ayroh addat,sidiica ayro,sidiica ayrok naharal,sidiica ayrok xabba haanam,1,1,1,0,0.5,0.5,Africa,12,42,afar1241,aar,Afro-Asiatic,Cushitic,Lowland East Cushitic,ET ER DJ,NA,NA,Ca6,Afar,afar1241,Afar,Northeast Tropical Africa,0.037653175,3.76076553,-0.637430978,0.105,0.025,0.105,0.805,0.025,1880,NA,110000,1950,100-199,Afro-Asiatic,149.5
Amharic,ትናንት,ዛሬ,ነገ,ቀኑ,ከትናንት በፊት ባለው ቀን,ከነገ ወዲያ,ሁለት ቀናት,አሁን ከሁለት ቀናት በፊት,ከሁለት ቀናት በኋላ,አራት ቀናት,ከአራት ቀናት በፊት,ከአራት ቀናት በኋላ,ሶስት ቀናት,አሁን ከሶስት ቀናት በፊት,ከሦስት ቀናት በኋላ,1,1,1,0.5,0,0.5,Africa,10,38,amha1245,amh,Afro-Asiatic,None,Semitic,ET,Afro-Asiatic,None,Ca7,Amhara,amha1245,Amharic,Northeast Tropical Africa,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1950,Gondar district,22000,1953,50000,Afro-Asiatic,50000
Balinese,ibi,dina jani,binmani,rahina,rahina sadurung dibi,rahina benjang,kalih rahina,kalih rahina sadurung mangkin,kalih rahina sasampun mangkin,petang rahina,petang rahina sadurung mangkin,petang rahina saking mangkin,tigang rahina,tigang rahina sadurung mangkin,tigang rahina saking mangkin,1,1,1,0.5,0,0.5,Papunesia,-8.333333333,115.25,bali1278,ban,Austronesian,None,Malayo-Sumbawan,ID,NA,NA,Ib3,Balinese,bali1278,Balinese,Malesia,-1.313493394,-0.029258223,0.316670588,0.025,0.025,0.025,0.305,0.705,1950,NA,1000000,1959,200-399,Austronesian,299.5
Balochi,زِی,مرچی,باندا,روش,کل ئا شہ پیشا روش,باندا پذا روش,دو روش,کل ئا شہ پیشا روش,باندا پذا روش,چار روش,چہ نوں چار روچ پیسر,چار روچ ءَ پد,سئے روش,چہ نوں سئے روچ پیسر,چہ نوں سئے روچ ءَ,1,1,1,0,0.5,0.5,Eurasia,28,62,west2368,bgn,Indo-European,NA,Iranian,NA,PK AF IR,NA,Ea10,Marri,east2304,Eastern Balochi,Indian Subcontinent,-0.593172184,1.627166538,0.373055782,0.105,0.025,0.025,0.505,0.405,1950,NA,60000,1955,50,Indo-European,50
Bashkir,кисэнге,бөгөн,иртәгә,көн .,кисәге көн,иртәгәнән һуңғы көн,ике көн .,ике көн элек,ике көндән һуң,дүрт көн .,дүрт көн элек,дүрт көндән,өс көн .,өс көн элек,өс көндән,1,1,1,0,0.5,0.5,Eurasia,53,58,bash1264,bak,Altaic,None,Turkic,RU,Turkic,None,ch12,Bashkir,bash1264,Bashkir,Eastern Europe,-1.186145156,1.361534321,-0.010700666,0.025,0.025,0.025,0.505,0.505,1899,NA,1320000,1897,50000,Altaic,50000
Belarusian,учора,сёння,заўтра,дзень,пазаўчора,паслязаўтра,два дні,два дні таму,праз два дні,чатыры дні,чатыры дні таму,праз чатыры дні,тры дні,тры дні таму,праз тры дні,1,1,1,1,1,2,Eurasia,53.23,25.6,bela1254,NA,Indo-European,NA,NA,NA,Indo-European,None,NA,Byelorussians,bela1254,Belarusian,Eastern Europe,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1910,NA,NA,NA,5000-50000,Indo-European,27500
Bambara,kunu,bi,sini,o don,don min bɛ kɔn kunun ɲɛ,sini o don kɔfɛ,tile fila,tile fila ka kɔn sisan ɲɛ,tile fila o kɔfɛ sisan,tile naani,tile naani ka kɔn sisan ɲɛ,tile naani ka bɔ sisan,tile saba,tile saba ka kɔn sisan ɲɛ,tile saba ka bɔ sisan,1,0.25,1,0.5,0.5,1,Africa,12.5,-7.5,bamb1269,bam,Mande,None,Western Mande,ML,Mande,None,NA,Bambara,bamb1269,Bambara,West Tropical Africa,0.385889431,-0.091562077,0.828807344,0.205,0.025,0.105,0.205,0.505,1920,NA,500000,1902,5000-50000,Niger-Congo,27500
Bhojpuri,काल्हु के भइल (It happened yesterday),आजु,काल्हु,दिन के बा,काल्हु से एक दिन पहिले के बात बा (It was the day before yesterday),काल्ह के बाद के दिन,दू दिन के बा,अब से दू दिन पहिले के बा,अब से दू दिन बाद,चार दिन के बा,अब से चार दिन पहिले के बा,अब से चार दिन बाद,तीन दिन के बा,अब से तीन दिन पहिले के बा,अब से तीन दिन बाद,0,1,1,0,0.5,0.5,Eurasia,26,84,bhoj1244,bho,Indo-European,None,Indic,IN,NA,NA,Ef11,Uttar Pradesh,bhoj1244,Bhojpuri,Indian Subcontinent,-1.377167513,-0.724654495,0.480356215,0.025,0.025,0.025,0.205,0.805,1945,NA,1400,1941,50000,Indo-European,50000
Burmese,မနေ့က,ဒီနေ့,မနက်ဖြန်,နေ့ရက်,မနေ့ က,သဘက်ခါ,နှစ်ရက်,အရင်နှစ်ရက်က,အခုနောက်နှစ်ရက်,လေးရက်,အခု လေးရက်လောက်က,ယခုမှလေးရက်,သုံးရက်,အရင်သုံးရက်လောက်က,အခုမှ သုံးရက်,1,1,1,1,1,2,Eurasia,21,96,nucl1310,mya,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,MM,NA,NA,Ei3,Burmese,nucl1310,Burmese,Indo-China,-1.377167513,-0.724654495,0.480356215,0.025,0.025,0.025,0.205,0.805,1950,NA,NA,NA,50000,Sino-Tibetan,50000
Canadian,nyɛ,ŋmene,wɔ́,gbi lɛ nɔ,gbi ni tsɔ nyɛ hiɛ lɛ,gbi ni nyiɛ wɔsɛɛ lɛ,gbii enyɔ,gbii enyɔ dani amrɔ nɛɛ,gbii enyɔ sɛɛ amrɔ nɛɛ,gbii ejwɛ,gbii ejwɛ dani amrɔ nɛɛ,gbii ejwɛ kɛjɛ bianɛ,gbii etɛ,gbii etɛ dani amrɔ nɛɛ,gbii etɛ kɛjɛ bianɛ,1,1,1,0.5,0,0.5,NA,47,-72,NA,NA,Indo-European,NA,NA,NA,NA,NA,Cf5,French Canadians,queb1247,Québécois,Eastern Canada,-0.893623531,-0.629283328,-0.056789657,0.025,0.025,0.105,0.205,0.705,1930,NA,NA,1926,50000,Indo-European,50000
Cebuano,kagahapon,karong adlawa,ugma,ang adlaw,sa miaging adlaw,pagka ugma,duha ka adlaw,duha ka adlaw sa wala pa karon,duha ka adlaw human karon,upat ka adlaw,upat ka adlaw sa wala pa karon,upat ka adlaw gikan karon,tulo ka adlaw,tulo ka adlaw sa wala pa karon,tulo ka adlaw gikan karon,1,1,1,0,0.5,0.5,Papunesia,10,124,cebu1242,ceb,Austronesian,None,Greater Central Philippine,PH,NA,NA,Ia12,Sugbuanon,cebu1242,Cebuano,Malesia,-0.407543899,-1.26541688,-0.542391378,0.025,0.025,0.205,0.105,0.705,1950,NA,2225000,1950,50000,Austronesian,50000
Chamorro,nigap,pagu,agupa,i ha'åni,i ha'åni antes di på'go,i sigiente diha,dos dihas,dos dihas antes di på'go,dos dihas despues di på'go,kuatro dihas,kuatro dihas antes di på'go,kuatro dihas desde på'go,tres dihas,tres dihas antes di på'go,tres dihas desde på'go,1,1,1,0,0,0,Papunesia,13.45,144.75,cham1312,cha,Austronesian,NA,Chamorro,NA,cha,NA,If8,Chamorro,cham1312,Chamorro,Northwestern Pacific,-0.893623531,-0.629283328,-0.056789657,0.025,0.025,0.105,0.205,0.705,1950,NA,3850,1950,400-1000,Austronesian,700
Chichewa,dzulo,lero,mawa,tsiku,dzulo lake,mawa lake,masiku awiri,masiku awiri zisanachitike,patatha masiku awiri,masiku anayi,masiku anayi zisanachitike,masiku anayi kuchokera pano,masiku atatu,masiku atatu kale,masiku atatu kuchokera pano,1,1,1,0,0,0,Africa,-14,34,nyan1308,nya,Niger-Congo,Benue-Congo,Bantu,MZ MW ZM ZW,NA,NA,NA,Chewa,chew1246,Chewa,South Tropical Africa,1.082471646,-0.408564196,0.690253319,0.105,0.205,0.105,0.105,0.505,1920,NA,750000,1955,100-199,Niger-Congo,149.5
Chuukese,naneu,ikenai,nesor,ewe ran .,ewe ran me mwen ikenai(今天) .,ewe ran mwirin lesor .,ruu ran,ruu ran me mwen iei .,ruu ran mwirin iei .,fomon ran .,fomon ran me mwen iei .,fomon ran seni iei .,ülüngät rän,ülüngät rän me mwen iei .,ülüngät rän seni iei .,1,1,1,0,0.5,0.5,Papunesia,7.333333333,151.75,chuu1238,chk,Austronesian,Eastern Malayo-Polynesian,Oceanic,FM,Austronesian,None,If2,Trukese,chuu1238,Chuukese,Northwestern Pacific,1.147037081,-1.691906726,-2.341588929,0.025,0.025,0.505,0.025,0.505,1940,NA,10000,1947,100-199,Austronesian,149.5
Chuvash,ӗнер,паян,ыран,кун,ӗнерхи кун,ыранхи кун,икӗ кун,халӗ икӗ кун маларах,икӗ кунтан,тӑватӑ кун,тӑватӑ кун маларах,тепӗр тӑватӑ кунтан,виҫӗ кун,халӗ виҫӗ кун маларах,тепӗр виҫӗ кунтан,1,1,1,0.5,0.5,1,Eurasia,55.5,47.5,chuv1255,chv,Altaic,None,Turkic,RU,Turkic,None,ch14,Chuvash,chuv1255,Chuvash,Eastern Europe,-1.495517858,-1.480002005,0.666186833,0.025,0.025,0.025,0.105,0.93,1908,NA,845000,1897,200-399,Altaic,299.5
Dinka,wäär,akölë,në ruun de,Aköl,Aköl tueŋ wäär,miäkduur,nïn karou,nïn kaarou tueŋ,nïn kaarou cï tëëk,nïn kaŋuan,nïn kaŋuan tueŋ,nïn kaŋuan ëmɛn,nïn kadiäk,nïn kadiäk tueŋ,nïn kadiäk ëmɛn,1,1,1,0.5,0,0.5,Africa,8.5,28,dink1262,din,Eastern Sudanic,Nilotic,Western Nilotic,SS,NA,NA,Aj11,Dinka,sout2832,Southwestern Dinka,Northeast Tropical Africa,-0.03528004,1.772654121,-0.468977245,0.025,0.105,0.105,0.505,0.305,1900,NA,500000,NA,1952,Nilo-Saharan,1952
Dogri,पिछले रोज,अज्ज,औंदे कल,दिन दा,कल दे इक दिन पैह्ले,कल दे अगले दिन,दो दिन,दो दिन पहले हुन,दो दिन बाद हुन,चार दिन,चार दिन पैह्लें गै,चार दिन बाद,तीन दिन,त्रै दिन पैह्लें गै,त्रै दिन बाद,1,1,1,0.5,0.5,1,Eurasia,33,75,dogr1250,dgo,Indo-European,NA,Indic,IN,dgo,NA,Na15,Tlicho,dogr1252,Dogrib,Subarctic,4.609080576,-0.216928725,-1.117943429,0.205,0.305,0.505,0.025,0.025,1860,NA,900,NA,1959,Indo-European,1959
Ewe,tsᴐ si va yi,egbe,tsɔ si gbɔna,ŋkekea dzi,ŋkeke si do ŋgɔ na etsɔ,le etsɔ si kplɔe ɖo dzi,ŋkeke eve,ŋkeke eve do ŋgɔ na fifia,ŋkeke eve le fifia megbe,ŋkeke ene,ŋkeke ene do ŋgɔ na fifia,ŋkeke ene tso fifia,ŋkeke etɔ̃,ŋkeke etɔ̃ do ŋgɔ na fifia,ŋkeke etɔ̃ tso fifia,1,1,1,0.5,0,0.5,Africa,6.333333333,0.416666667,ewee1241,ewe,Niger-Congo,Kwa,Gbe,TG GH,NA,NA,Ewe,aguu1242,Agu (Ewe),Atlantic-Congo,NA,0.259777235,-0.949668246,-0.463522085,0.025,0.105,0.205,0.105,0.605,1900,NA,700000,NA,1948,Niger-Congo,1948
Estonian,eile,täna,homme,päeval,üleeile,ülehomme,kaks päeva,kaks päeva varem,kaks päeva hiljem,neli päeva,neli päeva varem,nelja päeva pärast,kolm päeva,kolm päeva varem,kolme päeva pärast,1,1,1,1,1,2,Eurasia,59,26,esto1258,ekk,Uralic,Finno-Ugric,Finnic,EE,Uralic,None,ch16,Estonians,esto1258,Estonian,Eastern Europe,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1908,NA,350000,1897,50000,Uralic,50000
Fijian,na siga e liu,nikua,mataka,na siga .,na siga ni bera nanoa,na siga ni mataka,rua na siga,rua na siga ni bera oqo,rua na siga ni oti oqo,va na siga,va na siga ni bera oqo,Va na siga mai oqo,tolu na siga,tolu na siga ni bera oqo,tolu na siga mai oqo,0.5,1,1,0.5,0,0.5,Papunesia,-17.83333333,178,fiji1243,fij,Austronesian,Eastern Malayo-Polynesian,Oceanic,FJ,NA,NA,Ih14,Mbau Fijians,bauu1243,Bau (Fijian),Southwestern Pacific,1.740010053,-1.426274509,-1.95783248,0.105,0.025,0.505,0.025,0.405,1840,"Bau Chiefdom, Vanua Levu",NA,NA,1000-5000,Austronesian,3000
Fongbe,sɔ́,égbé,sɔ,azǎn ɔ,azǎn e jɛ nukɔn nú sɔ̀ é,sɔ e bɔ d'ewu e,azǎn we,azǎn wè jɛ nukɔn nú dìn,azǎn wè gudo dìn,azǎn ɛnɛ,azǎn ɛnɛ jɛ nukɔn nú dìn,azǎn ɛnɛ ɖíe,azǎn atɔn,azǎn atɔn jɛ nukɔn nú dìn,azǎn atɔn ɖíe,0.25,1,0.25,0.5,0,0.5,Africa,6.416666667,2.166666667,fonn1241,fon,Niger-Congo,Kwa,Gbe,BJ,NA,NA,Af1,Fon,fonn1241,Fon,West Tropical Africa,0.553172793,0.021199859,0.142811243,0.025,0.205,0.105,0.205,0.505,1890,City and environs of Abomey,25000,NA,5000-50000,Niger-Congo,27500
Hausa,jiya,yau,gobe,ranar,Jiya kafin jiya,jibi bayan gobe,kwana biyu,kwana biyu yanzu,bayan kwana biyu yanzu,kwana hudu,saura kwana hudu yanzu,saura kwana hudu,kwana uku,saura kwana uku yanzu,saura kwana uku,1,1,1,0,0.5,0.5,Africa,12,7,haus1257,hau,Afro-Asiatic,Chadic,West Chadic,NG NE,Afro-Asiatic,None,Cb26,Zazzagawa Hausa,haus1257,Hausa,West Tropical Africa,-0.720520422,0.236373994,0.700427036,0.105,0.025,0.025,0.305,0.605,1950,NA,260000,1948,50000,Afro-Asiatic,50000
Hebrew,אֶתמוֹל,הַיוֹם,מָחָר,היום,שלשום,מחרתיים,יומיים,יומיים לפני כן,יומיים אחרי עכשיו,ארבעה ימים,ארבעה ימים לפני כן,ארבעה ימים מהיום,שלושה ימים,שלושה ימים לפני כן,שלושה ימים מהיום,1,1,1,1,1,2,Eurasia,31.5,34.83333333,hebr1245,heb,Afro-Asiatic,NA,Semitic,IL,NA,NA,NA,NA,NA,NA,NA,0.616846912,0.716596131,-0.020874384,0.025,0.205,0.105,0.305,0.405,NA,NA,NA,NA,5000-50000,Afro-Asiatic,27500
Hungarian,tegnap,ma,holnap,a nap,tegnapelőtt,holnapután,két nap,két nappal azelőtt,két nap múlva,négy nap,négy nappal azelőtt,négy nap múlva,három nap,három nappal azelőtt,három nap múlva,1,1,1,1,1,2,Eurasia,47,20,hung1274,hun,Uralic,Finno-Ugric,Ugric,HU,Uralic,None,Ch8,Magyar,hung1274,Hungarian,Middle Europe,-0.893623531,-0.629283328,-0.056789657,0.025,0.025,0.105,0.205,0.705,1940,NA,9400000,1950,50000,Uralic,50000
Igbo,ụnyahụ,taa,echi,ụbọchị,ụbọchị gara aga ụnyahụ,n'echi ya,ụbọchị abụọ,ụbọchị abụọ tupu ugbu a,ụbọchị abụọ ka e mesịrị,ụbọchị anọ,ụbọchị anọ tupu ugbu a,ụbọchị anọ site ugbu a,ụbọchị atọ,ụbọchị atọ tupu ugbu a,ụbọchị atọ site ugbu a,1,1,1,0.5,0,0.5,Africa,6,7.333333333,nucl1417,ibo,Niger-Congo,Benue-Congo,Igboid,NG,Atlantic-Congo,None,Af10,Igbo,nucl1417,Igbo,West Tropical Africa,-1.495517858,-1.480002005,0.666186833,0.025,0.025,0.025,0.105,0.93,1930,NA,4000000,1929,400-1000,Niger-Congo,700
Inuktitut,Ippaksaq,Ullumi,Qaukpat,Ulluq,Ippaksaq sivuniani,Qauppaup kinguniani,Ulluuk marruuk,Marruuk ulluuk sivuniani,Ulluuk marruuk aniguqpatik,Ulluit tisamat,Ulluit tisamat sivuniani,Ulluit tisamat aniguqpata,Ulluit pingasut,Ulluit pingasut sivuniani,Ulluit pingasut aniguqpata,1,1,1,0.5,0,0.5,North America,62,-76,east2534,ike,Eskimo-Aleut,NA,Eskimo,NA,NA,NA,Na13,Nunatsiarmiut,baff1240,North Baffin Inuktitut,Subarctic America,4.888517995,-0.085180869,-1.762077216,0.025,0.505,0.505,0.025,0.025,1880,NA,NA,NA,50,Eskimo-Aleut,50
