language_name,yesterday,today,tomorrow,the day,the day before yesterday,the day after tomorrow,two days,two days before now,two days after now,four days,four days before now,four days from now,three days,three days before now,three days from now,value_yesterday,value_today,value_tomorrow,value_day_after_tomorrow,value_day_before_yesterday,time_window,time_window_all,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Top_Family,Subfamily,Genus,Country_ID,society_ID,society,Glottocode_society,society_language,Region,PC1,PC2,PC3,Gathering,Hunting,Fishing,AnimalHusbandry,Agriculture,subsistence_year,...55,Population size [EA202],Population_year,Mean size of local communities [EA031],Family
Bemba,mailo,ilelo,mailo,ubushiku,ubushiku bwakonkelepo,ubushiku bwakonkelepo,inshiku shibili,inshiku shibili ilyo nomba,inshiku shibili panuma ya nomba,inshiku shine,inshiku shine ilyo nomba,inshiku shine ukufuma nomba,inshiku shitatu,inshiku shitatu ilyo nomba,inshiku shitatu ukufuma nomba,1,1,1,0,0,0,3,Africa,-10,28.25,bemb1257,bem,Niger-Congo,Benue-Congo,Bantu,CD,Ac3,Bemba,town1238,Town Bemba,South Tropical Africa,0.208316179,-1.347576758,0.718186207,0.105,0.105,0.105,0.025,0.705,1900,Zambia branch,100000,1930,100-199,Niger-Congo
Italian,ieri,oggi,domani,il giorno,l'altroieri,dopodomani,due giorni,due giorni prima di adesso,due giorni dopo di adesso,quattro giorni,quattro giorni prima di adesso,tra quattro giorni,tre giorni,tre giorni prima di adesso,tra tre giorni,1,1,1,0.5,1,1.5,4.5,Eurasia,43,12,ital1282,ita,Indo-European,None,Romance,CH IT,NA,Neapolitans,neap1235,Continental Southern Italian,Southeastern Europe,-0.95729765,-1.3246796,0.106895971,0.025,0.025,0.105,0.105,0.805,1960,NA,NA,NA,50000,Indo-European
Malay,semalam,hari ini,esok,hari itu,hari sebelum semalam,lusa,dua hari,dua hari sebelum ini,dua hari selepas ini,empat hari,empat hari sebelum ini,empat hari dari sekarang,tiga hari,tiga hari sebelum ini,tiga hari dari sekarang,1,1,1,0.5,1,1.5,4.5,Eurasia,3,102,stan1306,zsm,Austronesian,None,Malayo-Sumbawan,MY,Ej16,Negri Sembilan,nege1240,Negeri Sembilan Malay,Malesia,-0.95729765,-1.3246796,0.106895971,0.025,0.025,0.105,0.105,0.805,1958,Inas District,NA,NA,NA,Austronesian
Thai,เมื่อวาน,วันนี้,พรุ่งนี้,วันนั้น,วันก่อนวานนี้,วันมะรืนนี้,สองวัน,สองวันก่อนนี้,สองวันหลังจากนั้น,สี่วัน,สี่วันก่อนนี้,สี่วันจากตอนนี้,สามวัน,สามวันก่อนนี้,สามวันจากตอนนี้,1,1,1,1,1,2,5,Eurasia,16,101,thai1261,tha,Tai-Kadai,None,Kam-Tai,TH,Ej9,Thai,thai1261,Thai,Indo-China,-0.95729765,-1.3246796,0.106895971,0.025,0.025,0.105,0.105,0.805,1940,NA,10000000,1940,1000-5000,Sino-Tibetan
Yoruba,lana,loni,ọla,ọjọ́ náà,ojo iwaju ana,ọjọ lẹhin ọla,ọjọ meji,ọjọ meji ṣaaju bayi,ọjọ meji lẹhin bayi,mẹrin ọjọ,mẹrin ọjọ ṣaaju ki o to bayi,ọjọ mẹrin lati isisiyi,ọjọ mẹta,ọjọ mẹta ṣaaju bayi,ọjọ mẹta lati isisiyi,1,1,1,0,0.5,0.5,3.5,Africa,8,4.333333333,yoru1245,yor,Niger-Congo,Benue-Congo,Defoid,NG BJ,Af6,Oyo Yoruba,oyoo1238,Oyo,West Tropical Africa,-0.95729765,-1.3246796,0.106895971,0.025,0.025,0.105,0.105,0.805,1950,NA,5500000,1950,50000,Niger-Congo
Zapotec,neegue',yannadxí,guixí,dxi que .,ti dxi ante de ayer .,dxi despué de sti dxi .,chupa gubidxa .,chupa gubidxa ante de yanna .,chupa gubidxa despué de yanna .,tapa gubidxa .,tapa gubidxa ante de yanna .,tapa gubidxa de yanna .,chonna gubidxa .,chonna gubidxa ante de yanna .,chonna gubidxa de yanna .,1,1,1,0.5,0,0.5,3.5,North America,16.416667,-95,isth1244,zai,Oto-Manguean,NA,Zapotecan,MX,NA,Zapotec,yala1267,Yalálag Zapotec,NA,-0.95729765,-1.3246796,0.106895971,0.025,0.025,0.105,0.105,0.805,1940,mountain village of Yalagag,NA,NA,5000-50000,Oto-Manguean
Wu Chinese,zoʔ2.ȵiəʔ3‧,tɕin4.tsæ0‧,mən2.tsæ3‧,,zɪ2.ȵiəʔ3‧,Ǿøʏ23.ȵiəʔ1‧,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,5,NA,31.67,120.8,wuch1236,wuu,Sino-Tibetan,NA,NA,NA,Ed15b,Kiangsu,wuch1236,Wu Chinese,China,-0.95729765,-1.3246796,0.106895971,0.025,0.025,0.105,0.105,0.805,1936,NA,NA,None,50000,Sino-Tibetan
Cebuano,kagahapon,karong adlawa,ugma,ang adlaw,sa miaging adlaw,pagka ugma,duha ka adlaw,duha ka adlaw sa wala pa karon,duha ka adlaw human karon,upat ka adlaw,upat ka adlaw sa wala pa karon,upat ka adlaw gikan karon,tulo ka adlaw,tulo ka adlaw sa wala pa karon,tulo ka adlaw gikan karon,1,1,1,0,0.5,0.5,3.5,Papunesia,10,124,cebu1242,ceb,Austronesian,None,Greater Central Philippine,PH,Ia12,Sugbuanon,cebu1242,Cebuano,Malesia,-0.407543899,-1.26541688,-0.542391378,0.025,0.025,0.205,0.105,0.705,1950,NA,2225000,1950,50000,Austronesian
Samoan,ananafi,aso nei,taeao,le aso,o le aso ua mavae ananafi,o le aso a taeao,lua aso,lua aso ua mavae atu nei,lua aso mulimuli ane nei,fa aso,e fa aso i luma atu o le taimi nei,e fa aso mai le taimi nei,aso e tolu,tolu aso a'o lumana'i nei,tolu aso mai le taimi nei,1,1,1,0.5,0.5,1,4,Papunesia,-13.91666667,-171.8333333,samo1305,smo,Austronesian,Eastern Malayo-Polynesian,Oceanic,AS WS,Ii1,American Samoans,samo1305,Samoan,Southwestern Pacific,0.142209853,-1.206154159,-1.191678726,0.025,0.025,0.305,0.105,0.605,1920,with special reference to American Samoa,45000,1926,50-99,Austronesian
Tongan,aneafi,ahó ni,ʻapongipongi,ko e ʻaho .,ko e 'aho kimu'a 'aneafi .,ko e 'aho hili 'apongipongi .,ʻaho ʻe ua,ʻaho ʻe ua kimuʻa he taimí ni .,ʻaho ʻe ua mei he taimí ni .,ʻaho ʻe fā,ʻaho ʻe fā kimuʻa he taimí ni .,ʻaho ʻe fā mei heni .,ʻaho ʻe tolu .,ʻaho ʻe tolu kimuʻa he taimí ni .,ʻaho ʻe tolu mei heni .,1,1,1,0.5,0.5,1,4,Papunesia,-21.16666667,-175.1666667,tong1325,ton,Austronesian,Eastern Malayo-Polynesian,Oceanic,TO,Ii12,Tongans,tong1325,Tonga (Tonga Islands),Southwestern Pacific,0.142209853,-1.206154159,-1.191678726,0.025,0.025,0.305,0.105,0.605,1920,NA,24000,1921,NA,Austronesian
Tahitian,ʻApaʻau,i teie nei,ananahi,te mahana,te mahana na mua'tu,te mahana i muri a'e ananahi,e piti mahana,e piti mahana na mua ' tu,e piti mahana i muri iho,e maha mahana,e maha mahana na mua ' tu,e maha mahana i muri iho,e toru mahana,e toru mahana na mua ' tu,e toru mahana i muri iho,1,0.25,0.25,0,0.5,0.5,2,Papunesia,-17.66666667,-149.5833333,tahi1242,tah,Austronesian,Eastern Malayo-Polynesian,Oceanic,PF,Ij8,Tahitians,tahi1242,Tahitian,South-Central Pacific,0.691963605,-1.146891438,-1.840966075,0.025,0.025,0.405,0.105,0.505,1900,NA,None,NA,NA,Austronesian
Luganda,jjo,leero,enkya,olunaku,olunaku olusooka eggulo,olunaku oluddirira enkya,ennaku bbiri,ennaku bbiri nga wabulayo kati,oluvannyuma lw’ennaku bbiri kati,ennaku nnya,nga wabulayo ennaku nnya kati,ennaku nnya okuva kati,ennaku ssatu,nga wabulayo ennaku ssatu kati,ennaku ssatu okuva kati,1,1,1,0,0.5,0.5,3.5,Africa,0.5,32.16666667,gand1255,lug,Niger-Congo,Benue-Congo,Bantu,UG,Ad7,Ganda,gand1255,Ganda,East Tropical Africa,-0.289976517,-1.008930967,0.185765263,0.025,0.105,0.105,0.105,0.705,1880,Kyaddondo district (V: Kampala),600000,1900,5000-50000,Niger-Congo
Nahuatl (Eastern Huasteca),yaljuaya,ama,mostla,tonali,tonali achtoui,mostla,ome tonali,ome tonali achtoui,ome tonali teipa,naui tonali,naui tonali achtoui,naui tonali tlen axkan,eyi tonali,eyi tonali achtoui,eyi tonali tlen axkan,1,1,1,0,0,0,3,North America,22,-99,huas1257,nhe nhw,Uto-Aztecan,NA,Aztecan,MX,NA,NA,NA,NA,NA,-0.289976517,-1.008930967,0.185765263,0.025,0.105,0.105,0.105,0.705,1520,NA,300000,1520,50000,Uto-Aztecan
Santali,ho̱la,Te̱he̱ń,Gapa,din,teheń khon mit́ din laha,gapa tayom din,bar din,nit khon bar din lahare,bar din tayom nit,pạhil din,nit khon 4 din lahare,nit khon 4 din tayom,te̠ pe̠ din,nit khon pe din lahare,nit khon pe din tayom,1,1,1,0.5,0.5,1,4,Eurasia,24.5,87,sant1410,sat,Austro-Asiatic,None,Munda,IN,Ef1,Santal,sant1410,Santali,Indian Subcontinent,-0.289976517,-1.008930967,0.185765263,0.025,0.105,0.105,0.105,0.705,1940,NA,2500000,1931,NA,Austroasiatic
Mun,kum33pɔu35,ni44nɔi22‧,tiŋ44dɔ35‧,,ȵa55nɔi22,ȵau42dɔ35‧,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,5,Eurasia,19,110,kimm1245,mji,Hmong-Mien,NA,Mienic,NA,Ed14,Man,kimm1245,Kim Mun,Indo-China,-0.289976517,-1.008930967,0.185765263,0.025,0.105,0.105,0.105,0.705,NA,NA,NA,None,Missing data,Sino-Tibetan
Hlai,vɔn21va32‧,vaŋ33ne31‧,pai33pʰaŋ33‧,,pai33plɔu33‧,pai33ȵeɯ11‧,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,5,Eurasia,19,109.5,hlai1239,lic,Tai-Kadai,NA,Hlai,NA,Ed9,Li,hlai1239,Hlai,China,-0.289976517,-1.008930967,0.185765263,0.025,0.105,0.105,0.105,0.705,1930,NA,220000,1931,100-199,Sino-Tibetan
Khmer,ម្សិលមិញ,ថ្ងៃនេះ,ថ្ងៃស្អែក,ថ្ងៃ,ថ្ងៃមុនម្សិលមិញ,ថ្ងៃបន្ទាប់ថ្ងៃស្អែក,ពីរថ្ងៃ,ពីរថ្ងៃមុនឥឡូវនេះ,ពីរថ្ងៃក្រោយមក,បួនថ្ងៃ,បួនថ្ងៃមុនឥឡូវនេះ,បួនថ្ងៃចាប់ពីពេលនេះទៅ,បីថ្ងៃ,បីថ្ងៃមុនឥឡូវនេះ,បីថ្ងៃចាប់ពីពេលនេះទៅ,1,1,1,0.5,0.5,1,4,Eurasia,12.5,105,cent1989,khm,Austro-Asiatic,Mon-Khmer,Khmer,KH,Ej15,Ancient Khmer,oldk1249,Old Khmer,Indo-China,0.185429074,-0.999784662,-0.158634929,0.105,0.025,0.205,0.105,0.605,NA,NA,3500000,1950,50000,Austroasiatic
Baoure,annun'man,andɛ,ayin'man,tʃin .,annunman tʃin ng'ɔ dun mmua,ainman tʃin sin,tʃin n'ɲon,tʃin n'ɲon ka naan y'a ju,cɛn nɲɔn sinnin siɛn’n,tʃin nnan .,cɛn nnan ka naan w’a ju .,ɔ ka cɛn nnan,tʃin nsan .,cɛn nsan ka naan w’a ju .,cɛn nsan kɛ é sé yɛ’n,1,1,1,0,0.5,0.5,3.5,Africa,7,-5,baou1238,bci,Niger-Congo,Kwa,Tano,CI,Af9,Baule,baou1238,Baoulé,West Tropical Africa,0.259777235,-0.949668246,-0.463522085,0.025,0.105,0.205,0.105,0.605,1900,NA,383000,1950,NA,Niger-Congo
Ewe,tsᴐ si va yi,egbe,tsɔ si gbɔna,ŋkekea dzi,ŋkeke si do ŋgɔ na etsɔ,le etsɔ si kplɔe ɖo dzi,ŋkeke eve,ŋkeke eve do ŋgɔ na fifia,ŋkeke eve le fifia megbe,ŋkeke ene,ŋkeke ene do ŋgɔ na fifia,ŋkeke ene tso fifia,ŋkeke etɔ̃,ŋkeke etɔ̃ do ŋgɔ na fifia,ŋkeke etɔ̃ tso fifia,1,1,1,0.5,0,0.5,3.5,Africa,6.333333333,0.416666667,ewee1241,ewe,Niger-Congo,Kwa,Gbe,TG GH,Ewe,aguu1242,Agu (Ewe),Atlantic-Congo,NA,0.259777235,-0.949668246,-0.463522085,0.025,0.105,0.205,0.105,0.605,1900,NA,700000,NA,1948,Niger-Congo
Dyula,kunu,bi,sini,tile,kunu ka kɔn loon ɲɛ,sini dugusagwɛ,tile fila,tile fila ka kɔn sisan ɲɛ,tile fila o kɔ sisan,tile naani,tile naani ka kɔn sisan ɲɛ,tile naani ka bɔ sisan,tile saba,tile saba ka kɔn sisan ɲɛ,tile saba ka bɔ sisan,1,1,1,0.5,0,0.5,3.5,Africa,9.833333333,-4.666666667,dyul1238,dyu,Mande,NA,Western Mande,BF ML CI,Ag27,Diula,dyul1238,Dyula,West Tropical Africa,-0.180547527,-0.838669917,1.106667584,0.105,0.105,0.025,0.105,0.705,1910,NA,160000,1950,NA,Niger-Congo
Lingala,lobi eleki,lelo,lobi,mokolo yango,mokolo moko liboso ya lobi,mokolo oyo elandi lobi,mikolo mibale,mikolo mibale eleki,mikolo mibale uta sikoyo,mikolo minei,mikolo minei eleki,mikolo minei uta sikoyo,mikolo misato,mikolo misato eleki,mikolo misato uta sikoyo,1,1,1,0.5,0,0.5,3.5,Africa,2,18.5,ling1263,lin,Niger-Congo,Benue-Congo,Bantu,CD,Ae28,Ngala,ling1263,Kinshasa Lingala,West-Central Tropical Africa,1.359284738,-0.831142805,-1.762096782,0.025,0.105,0.405,0.105,0.405,1900,NA,125000,1950,200-399,Niger-Congo
Tumbuka,mayilo,mwahuno,namachelo,zuŵa ilo,Zuŵa lakumanyuma,zuŵa lakulondezgapo machero,mazuŵa ghaŵiri,mazuŵa ghaŵiri pambere sono,panyuma pa mazuŵa ghaŵiri sono,mazuŵa ghanayi,mazuŵa ghanayi pambere sono,mazuŵa ghanayi kufuma sono,mazuŵa ghatatu,mazuŵa ghatatu pambere sono,mazuŵa ghatatu kufuma sono,1,1,1,0,0,0,3,Africa,-11.33,33.37,NA,tum,Atlantic-Congo,NA,NA,NA,Ac36,Tumbuka,tumb1250,Tumbuka,South Tropical Africa,0.005954691,-0.76956758,0.843642742,0.025,0.205,0.025,0.105,0.705,1920,NA,115000,1945,NA,Niger-Congo
Maori,inanahi,i tenei ra,apopo,te ra,te ra i mua inanahi,apopo,e rua nga ra,e rua nga ra i mua i tenei wa,e rua nga ra i muri mai inaianei,e wha nga ra,e wha nga ra i mua i tenei wa,e wha nga ra mai i tenei wa,e toru nga ra,e toru nga ra i mua i tenei wa,e toru nga ra mai i tenei wa,1,1,1,0.5,0,0.5,3.5,Papunesia,-40,176,maor1246,mri,Austronesian,Eastern Malayo-Polynesian,Oceanic,NZ,Ij2,Māori,maor1246,Maori,New Zealand,2.13114991,-0.74413597,1.072579961,0.305,0.105,0.205,0.025,0.405,1820,NA,42100,1896,200-399,Austronesian
Kongo,mazono,bubu yai,mbasi,kilumbu,kilumbu ya ntwala ya mazono,kilumbu ya nima ya mbasi,bilumbu zole,Bilumbu zole na ntwala,Bilumbu zole na nima,Bilumbu iya,Bilumbu iya na ntwala,Bilumbu iya katuka ntangu yai,bilumbu tatu,Bilumbu tatu na ntwala,Bilumbu tatu na nima,0.5,0.5,0.5,0,0,0,1.5,Africa,-5,15,koon1244,kng,Niger-Congo,Benue-Congo,Bantu,CD,Ac14,Bakongo,sans1272,San Salvador Kongo,South Tropical Africa,0.302996455,-0.74329875,0.569521712,0.105,0.105,0.105,0.105,0.605,1900,NA,None,NA,None,Niger-Congo
Guarani,kuehe,ko árape,ko'ẽrõ,ára,pe ára kuehe mboyve,ára ko’ẽrõ rire,mokõi ára,mokõi ára ko’áĝa mboyve,mokõi ára rire ko’áĝa,irundy ára,irundy ára ko’áĝa mboyve,irundy ára ko’áĝa guive,mbohapy ára,mbohapy ára ko’áĝa mboyve,mbohapy ára ko’áĝa guive,1,1,1,0.5,0.5,1,4,South America,-26,-56,para1311,gug,Tupian,NA,Maweti-Guarani,PY,Sj10,Cayua,mbya1239,Mbyá Guaraní,Southern South America,1.674331359,-0.740753171,1.340758365,0.205,0.205,0.105,0.025,0.505,1950,NA,2000,NA,NA,Tupian
Bulgarian,вчера,днес,утре,деня,завчера,вдругиден,два дни,преди два дни,след два дни,четири дни,четири дни преди сега,след четири дни,три дни,преди три дни,след три дни,1,1,1,1,1,2,5,Eurasia,42.5,25,bulg1262,bul,Indo-European,None,Slavic,BG,Ch5,Bulgarians,bulg1262,Bulgarian,Southeastern Europe,-1.377167513,-0.724654495,0.480356215,0.025,0.025,0.025,0.205,0.805,1940,NA,1700,1934,50000,Indo-European
Cantonese,琴日,今日,聽日,嗰日,前日,後日,兩日,兩日前而家,喺而家之後兩日,四日,喺而家之前四日,由而家開始四日,三日,喺而家之前三日,由而家開始三日,1,1,1,1,1,2,5,Eurasia,23,113,yuec1235,yue,Sino-Tibetan,None,Chinese,CN,NA,Cantonese,yuec1235,Yue Chinese,China,-1.377167513,-0.724654495,0.480356215,0.025,0.025,0.025,0.205,0.805,1940,NA,None,NA,NA,Sino-Tibetan
Bhojpuri,काल्हु के भइल (It happened yesterday),आजु,काल्हु,दिन के बा,काल्हु से एक दिन पहिले के बात बा (It was the day before yesterday),काल्ह के बाद के दिन,दू दिन के बा,अब से दू दिन पहिले के बा,अब से दू दिन बाद,चार दिन के बा,अब से चार दिन पहिले के बा,अब से चार दिन बाद,तीन दिन के बा,अब से तीन दिन पहिले के बा,अब से तीन दिन बाद,0,1,1,0,0.5,0.5,2.5,Eurasia,26,84,bhoj1244,bho,Indo-European,None,Indic,IN,Ef11,Uttar Pradesh,bhoj1244,Bhojpuri,Indian Subcontinent,-1.377167513,-0.724654495,0.480356215,0.025,0.025,0.025,0.205,0.805,1945,NA,1400,1941,50000,Indo-European
Burmese,မနေ့က,ဒီနေ့,မနက်ဖြန်,နေ့ရက်,မနေ့ က,သဘက်ခါ,နှစ်ရက်,အရင်နှစ်ရက်က,အခုနောက်နှစ်ရက်,လေးရက်,အခု လေးရက်လောက်က,ယခုမှလေးရက်,သုံးရက်,အရင်သုံးရက်လောက်က,အခုမှ သုံးရက်,1,1,1,1,1,2,5,Eurasia,21,96,nucl1310,mya,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,MM,Ei3,Burmese,nucl1310,Burmese,Indo-China,-1.377167513,-0.724654495,0.480356215,0.025,0.025,0.025,0.205,0.805,1950,NA,NA,NA,50000,Sino-Tibetan
Javanese,wingi,dina iki,sesuk,dina,dina sadurunge wingi,sesuk,rong dina,rong dina sadurunge saiki,rong dina sawise saiki,patang dina,patang dina sadurunge saiki,patang dina wiwit saiki,telung dina,telung dina sadurunge saiki,telung dina wiwit saiki,1,1,1,0.5,0,0.5,3.5,Papunesia,-7,111,java1254,jav,Austronesian,NA,Javanese,ID,Ib2,Javanese,java1254,Javanese,Malesia,-1.377167513,-0.724654495,0.480356215,0.025,0.025,0.025,0.205,0.805,1950,NA,24000,1952,5000-50000,Austronesian
Maithili,काल्हि,आइ,काल्हि,दिन,काल्हिसँ एक दिन पहिने,काल्हिक दोसर दिन,दू दिन,दू दिन पहिने आब,आब दू दिनक बाद,चारि दिन,चारि दिन पहिने आब,चारि दिन बाद,तीन दिन,आब तीन दिन पहिने,तीन दिन बाद,0.25,1,0.25,0.5,0,0.5,2,Eurasia,26,86,mait1250,mai,Indo-European,None,Indic,IN NP,Ef10,Bihari,mait1250,Maithili,Indian Subcontinent,-1.377167513,-0.724654495,0.480356215,0.025,0.025,0.025,0.205,0.805,1880,Ganges River Valley,NA,NA,NA,Indo-European
