language_name,yesterday,today,tomorrow,the day,the day before yesterday,the day after tomorrow,two days,two days before now,two days after now,four days,four days before now,four days from now,three days,three days before now,three days from now,value_yesterday,value_today,value_tomorrow,value_day_after_tomorrow,value_day_before_yesterday,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Genus,Country_ID,society_ID,society,dominant subsistence type,,Macroarea,Subsistence economy: gathering [EA001],Subsistence economy: hunting [EA002],Subsistence economy: fishing [EA003],Subsistence economy: animal husbandry [EA004],Subsistence economy: agriculture [EA005],,,Population size [EA202],,Mean size of local communities [EA031],,,,,,,,,,,,
French,hier,aujourd'hui,demain,le jour,avant-hier,après-demain,deux jours,deux jours avant maintenant,deux jours après maintenant,quatre jours,quatre jours avant maintenant,dans quatre jours,trois jours,trois jours avant maintenant,dans trois jours,1,1,1,0.5,0.5,Eurasia,48,2,stan1290,fra,Indo-European,Romance,CH FR,CCMCstan1290,French,stan1290,French,Southwestern Europe,None,,,,,,,,,,,,,,,,,,,,,
Galician,onte,hoxe,mañá,o día,antes de onte,pasadomañá 看Catalan语,dous días,dous días antes,dous días despois de agora,catro días,catro días antes,dentro de catro días,tres días,tres días antes,dentro de tres días,1,1,1,0,1,Eurasia,43,-8,gali1258,glg,Indo-European,Romance,ES,Ce2,Portuguese,gali1257,Galician Portuguese,Southwestern Europe,0-5%,0-5%,6-15%,36-45%,46-55%,1950,with special reference to the village of Rio de Onor in the extreme northeast,,,None,,,,,,,,,,,,
German,gestern,heute,morgen,heute,vorgestern,übermorgen,zwei Tage,zwei Tage vor jetzt,zwei Tage nach jetzt,vier Tage,vier Tage vor jetzt,vier Tage ab jetzt,drei Tage,drei Tage vor jetzt,drei Tage ab jetzt,1,1,1,1,1,Eurasia,52,10,stan1295,deu,Indo-European,Germanic,CH DE AT,CCMCstan1295,German,stan1295,German,Middle Europe,None,,,,,,,,,,,,,,,,,,,,,
Greek,εχθές,σήμερα,αύριο,την ημέρα,προχθές,μεθαύριο,δύο μέρες,δύο μέρες πριν,δύο μέρες μετά τώρα,τέσσερις μέρες,τέσσερις μέρες πριν,τέσσερις μέρες από τώρα,τρεις μέρες,τρεις μέρες πριν,τρεις μέρες από τώρα,1,1,1,1,1,Eurasia,39,22,mode1248,ell,Indo-European,Greek,GR,Ef9,Gujarati,guja1252,Gujarati,Indian Subcontinent,0-5%,0-5%,6-15%,26-35%,56-65%,1950,,,,50000,,,,,,,,,,,,
Gujarati,ગઈકાલે,આજે,આવતીકાલે,દિવસ,ગઈકાલના આગલા દિવસે,કાલ પછીનો દિવસ,બે દિવસ,આજથી બે દિવસ પહેલા,હવે બે દિવસ પછી,ચાર દિવસ,આજથી ચાર દિવસ પહેલા,હવેથી ચાર દિવસ,ત્રણ દિવસ,આજથી ત્રણ દિવસ પહેલા,હવેથી ત્રણ દિવસ,1,1,1,0.5,0.5,Eurasia,23,72,guja1252,guj,Indo-European,Indic,IN,Ef9,Gujarati,guja1252,Gujarati,Indian Subcontinent,0-5%,0-5%,6-15%,16-25%,66-75%,1920,,,,50000,,,,,,,,,,,,
Hindi,कल,आज,कल,दिन,परसों,परसों,परसों,दो दिन,अब से दो दिन पहले,अब से दो दिन बाद,चार दिन,अब से चार दिन पहले,अब से चार दिन बाद,तीन दिन,अब से तीन दिन पहले,0.25,1,0.25,0,1,Eurasia,25,77,hind1269,hin,Indo-European,Indic,IN,CCMChind1269,Hindi,hind1269,Hindi,Indian Subcontinent,None,,,,,,,,,,,,,,,,,,,,,
Icelandic,í gær,í dag,á morgun,daginn,í fyrradag,daginn eftir á morgun,tvo daga,tveimur dögum áður,tveimur dögum síðar,fjóra daga,fjórum dögum áður,eftir fjóra daga,þrjá daga,þremur dögum áður,eftir þrjá daga,0.5,0.5,0.5,0.5,0.5,Eurasia,65,-17,icel1247,isl,Indo-European,Germanic,IS,Cg2,Icelanders,icel1247,Icelandic,Northern Europe,0-5%,16-25%,26-35%,36-45%,6-15%,,,50000,1950,,,,,,,,,,,,,
Irish,inné,inniu,amárach,an lae,an lá roimh inné,an lá i ndiaidh lae amárach,dhá lá,dhá lá roimhe sin,dhá lá tar éis anois,ceithre lá,ceithre lá roimhe seo,ceithre lá ó anois,trí lá,trí lá roimhe seo,trí lá ó anois,1,1,1,0.5,0.5,Eurasia,53,-8,iris1253,gle,Indo-European,Celtic,IE,Cg3,Irish,iris1253,Irish,Northern Europe,0-5%,6-15%,0-5%,36-45%,46-55%,1930,,50000,1930,2963000,,,,,,,,,,,,
Italian,ieri,oggi,domani,il giorno,l'altroieri,dopodomani,due giorni,due giorni prima di adesso,due giorni dopo di adesso,quattro giorni,quattro giorni prima di adesso,tra quattro giorni,tre giorni,tre giorni prima di adesso,tra tre giorni,1,1,1,0.5,1,Eurasia,43,12,ital1282,ita,Indo-European,Romance,CH IT,,Neapolitans,neap1235,Continental Southern Italian,Southeastern Europe,0-5%,0-5%,6-15%,6-15%,76-85%,1960,,,,50000,,,,,,,,,,,,
Latvian,vakar,šodien,rīt,diena,aizvakar,parīt pēc rītdienas,divas dienas,divas dienas iepriekš,divas dienas pēc šī brīža,četras dienas,pirms četrām dienām,četras dienas no šī brīža,trīs dienas,trīs dienas iepriekš,trīs dienas no šī brīža,1,1,1,1,0.5,Eurasia,57,24,latv1249,lav,Indo-European,Baltic,LV,,Latvians,latv1249,Latvian,Eastern Europe,0-5%,0-5%,6-15%,16-25%,66-75%,1881,,1312000,1897,50000,,,,,,,,,,,,
Lithuanian,vakar,šiandien,rytoj,dieną,užvakar,poryt,dvi dienas,prieš dvi dienas,po dviejų dienų,keturias dienas,prieš keturias dienas,keturios dienos nuo dabar,tris dienas,prieš tris dienas,nuo trijų dienų,1,1,1,1,0,Eurasia,55,24,lith1251,lit,Indo-European,Baltic,LT,,Lithuanians,lith1251,Lithuanian,Eastern Europe,0-5%,0-5%,6-15%,36-45%,46-55%,,,217000,1950,50000,,,,,,,,,,,,
Macedonian,вчера,денес,утре,денот,завчера,задутре,два дена,два дена пред сега,два дена после сега,четири дена,четири дена пред сега,четири дена од сега,три дена,три дена пред сега,три дена од сега,1,1,1,1,1,Eurasia,41.66666667,21.75,mace1250,mkd,Indo-European,Slavic,MK,,Macedonian,mace1250,Macedonian,Southeastern Europe,None,,,,,,,,,,,,,,,,,,,,,
Marathi,काल,आज,उद्या,दिवस,कालच्या आदल्या दिवशी,परवा,दोन दिवस,आता दोन दिवस आधी,आता दोन दिवसांनी,चार दिवस,आता चार दिवस आधी,आतापासून चार दिवस,तीन दिवस,आता तीन दिवस आधी,आतापासून तीन दिवस,1,1,1,0.5,0,Eurasia,19,76,mara1378,mar,Indo-European,Indic,IN,CCMCmara1378,Marathi,mara1378,Marathi,Indian Subcontinent,None,,,,,,,,,,,,,,,,,,,,,
Nepali,हिजो,आज,भोलि,दिन,हिजो अघिल्लो दिन,भोलिको दिन,दुई दिन,अहिले दुई दिन अगाडि,अब दुई दिन पछि,चार दिन,आजभन्दा चार दिन अगाडि,अब देखि चार दिन,तीन दिन,अहिले तीन दिन अघि,अब देखि तीन दिन,1,1,1,0.5,0,Eurasia,28,85,nepa1254,npi,Indo-European,Indic,NP,CCMCnepa1254,Nepali,nepa1254,Nepali,Indian Subcontinent,None,,,,,,,,,,,,,,,,,,,,,
Norwegian,i går,i dag,i morgen,dagen,i forgårs,i overmorgen,to dager,to dager før nå,to dager etter nå,fire dager,fire dager før nå,fire dager fra nå,tre dager,tre dager før nå,tre dager fra nå,0.5,0.5,0.5,0.5,0.5,Eurasia,61,8,norw1258,nor,Indo-European,Germanic,NO,CCMCnorw1258,Norwegian,norw1258,Norwegian,Northern Europe,None,,,,,,,,,,,,,,,,,,,,,
Pashto,پرون,نن,سبا,ورځ,یوه ورځ مخکې,بله ورځ,دوه ورځې,له نن څخه دوه ورځې مخکې,دوه ورځې وروسته,څلور ورځې,له نن څخه څلور ورځې مخکې,له نن څخه څلور ورځې,درې ورځې,له نن څخه درې ورځې مخکې,له نن څخه درې ورځې,1,1,1,0,0,Eurasia,33,67,cent1973,pst,Indo-European,Iranian,PK AF,CCMCpash1269,Pashto,pash1269,Pashto,Indian Subcontinent,None,,,,,,,,,,,,,,,,,,,,,
Persian,دیروز,امروز,فردا,روز,پریروز,پس فردا,دو روز,دو روز قبل از الان,دو روز بعد از الان,چهار روز,چهار روز قبل از این,چهار روز دیگر,سه روز,سه روز قبل از الان,سه روز دیگر,1,1,1,0,0.5,Eurasia,32,54,west2369,pes,Indo-European,Iranian,IR,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Polish,wczoraj,dzisiaj,jutro,dzień,przedwczoraj,pojutrze,dwa dni,dwa dni przedtem,dwa dni potem,cztery dni,cztery dni temu,cztery dni od teraz,trzy dni,trzy dni przedtem,trzy dni od teraz,1,1,1,1,1,Eurasia,52,20,poli1260,pol,Indo-European,Slavic,PL,CCMCpoli1260,Polish,poli1260,Polish,Middle Europe,None,,,,,,,,,,,,,,,,,,,,,
Portuguese(Portugal),ontem,hoje,amanhã,o dia,anteontem,depois de amanhã,dois dias,dois dias antes de agora,dois dias depois de agora,quatro dias,quatro dias antes de agora,quatro dias a partir de agora,três dias,três dias antes de agora,três dias a partir de agora,1,1,1,1,0.5,Eurasia,39,-8,port1283,por,Indo-European,Romance,PT,,Portuguese,gali1257,Galician Portuguese,Southwestern Europe,0-5%,0-5%,6-15%,36-45%,46-55%,1950,,None,,,,,,,,,,,,,,
Romanian,ieri,astăzi,mâine,ziua,alaltăieri,poimâine,doua zile,cu două zile înainte de acum,după două zile,patru zile,cu patru zile înainte de acum,de acum patru zile,trei zile,cu trei zile înainte de acum,peste trei zile,1,1,1,1,1,Eurasia,46,25,roma1327,ron,Indo-European,Romance,RO,,Romanian,roma1327,Romanian,Southeastern Europe,None,,,,,,,,,,,,,,,,,,,,,
Russian,вчера,сегодня,завтра,день,позавчера,послезавтра,два дня,два дня до настоящего момента,два дня после настоящего момента,четыре дня,четыре дня до настоящего момента,четыре дня от настоящего момента,три дня,три дня от настоящего момента,три дня от настоящего момента,1,1,1,1,1,Eurasia,56,38,russ1263,rus,Indo-European,Slavic,RU,SCCS54,Russians,russ1263,Russian,Eastern Europe,0-5%,0-5%,0-5%,26-35%,66-75%,1955,,,,"	50000",,,,,,,,,,,,
Serbian-Croatian,јуче,данас,сутра,дан,прекјуче,прекосутра,два дана,два дана раније,два дана касније,четири дана,четири дана раније,четири дана од сада,три дана,три дана раније,три дана од сада,1,1,1,1,1,Eurasia,44,19,sout1528,hbs,Indo-European,Slavic,RS BA HR,,Serbs,serb1264,Serbian Standard,Southeastern Europe,0-5%,0-5%,0-5%,36-45%,56-65%,1950,,2200,1953,50000,,,,,,,,,,,,
Sinhala,ඊයේ,අද,හෙට,දවස,පෙරේදා,අනිද්දා,දින දෙකක්,දැන් දවස් දෙකකට කලින්,දැන් දවස් දෙකකට පස්සේ,දින හතරක්,දැන් දවස් හතරකට කලින්,දැන් සිට දින හතරක්,දින තුනක්,දැන් දවස් තුනකට කලින්,දැන් සිට දින තුනක්,1,1,1,0,0,Eurasia,7,80.5,sinh1246,sin,Indo-European,Indic,LK,Eh6,Sinhalese,sinh1246,Sinhala,Indian Subcontinent,0-5%,0-5%,6-15%,26-35%,56-65%,1950,,2157000,1954,50000,,,,,,,,,,,,
Slovak,včera,dnes,zajtra,deň,predvčerom,pozajtra,dva dni,pred dvoma dňami,po dvoch dňoch,štyri dni,pred štyrmi dňami,o štyri dni,tri dni,pred tromi dňami,o tri dni,1,1,1,1,1,Eurasia,49,20,slov1269,slk,Indo-European,Slavic,SK,CCMCslov1269,Slovak,slov1269,Slovak,Middle Europe,None,,,,,,,,,,,,,,,,,,,,,
Slovene,včeraj,danes,jutri,dan,predvčerajšnjim,pojutrišnjem,dva dni,dva dni prej,čez dva dni,štiri dni,pred štirimi dnevi,čez štiri dni,tri dni,tri dni pred tem,čez tri dni,1,1,1,1,1,Eurasia,46,15,slov1268,slv,Indo-European,Slavic,SI,,Slovenian,slov1268,Slovenian,Southeastern Europe,None,,,,,,,,,,,,,,,,,,,,,
Spanish,ayer,hoy,mañana,el día,anteayer,pasado mañana,dos días,dos días antes de ahora,dos días después de ahora,cuatro días,cuatro días antes de ahora,dentro de cuatro días,tres días,tres días antes de ahora,dentro de tres días,1,1,1,1,0.5,Eurasia,40,-4,stan1288,spa,Indo-European,Romance,ES,Ce6,Spaniards,stan1288,Spanish,Southwestern Europe,0-5%,0-5%,0-5%,26-35%,66-75%,1950,,,,50000,,,,,,,,,,,,
Swedish,i går,i dag,i morgon,dagen,förrgår,i övermorgon,två dagar,två dagar innan nu,två dagar efter nu,fyra dagar,fyra dagar innan nu,fyra dagar från nu,tre dagar,tre dagar innan nu,om tre dagar,0.5,0.5,0.5,0.5,0.5,Eurasia,60,15,swed1254,swe,Indo-European,Germanic,FI SE,CCMCswed1254,Swedish,swed1254,Swedish,Northern Europe,None,,,,,,,,,,,,,,,,,,,,,
Ukrainian,вчора,сьогодні,завтра,день,позавчора,післязавтра,два дні,два дні тому,через два дні,чотири дні,чотири дні тому,через чотири дні,три дні,три дні тому,через три дні,1,1,1,1,1,Eurasia,49,33,ukra1253,ukr,Indo-European,Slavic,UA,,Ukrainians,east2270,East Ukrainian,Eastern Europe,0-5%,0-5%,6-15%,26-35%,56-65%,1930,,,,50000,,,,,,,,,,,,
Urdu,کل,آج,کل,دن,پرسوں,پرسوں,دو دن,اب سے دو دن پہلے,اب دو دن بعد,چار دن,اب سے چار دن پہلے,اب سے چار دن,تین دن,اب سے تین دن پہلے,اب سے تین دن,0.25,1,0.25,0,0,Eurasia,25,67,urdu1245,urd,Indo-European,Indic,PK,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Welsh,ddoe,heddiw,yfory,y dydd,y diwrnod cyn ddoe,y diwrnod ar ôl yfory,dau ddiwrnod,dau ddiwrnod cyn hyn,deuddydd ar ol hyn,pedwar diwrnod,bedwar diwrnod cyn hyn,pedwar diwrnod o nawr,tridiau,dridiau cyn hyn,tri diwrnod o nawr,1,1,1,0.5,0.5,Eurasia,52,-3,wels1247,cym,Indo-European,Celtic,GB,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Mandarin,昨天,今天,明天,今天,前天,后天,两天,前两天,后两天,四天,前四天,四天后,三天,前三天,后三天,1,1,1,1,1,Eurasia,34,110,mand1415,cmn,Sino-Tibetan,Chinese,CN,,Shantung,mand1415,Mandarin Chinese,China,0-5%,0-5%,6-15%,16-25%,66-75%,1930,,,,50000,,,,,,,,,,,,
Cantonese,琴日,今日,聽日,嗰日,前日,後日,兩日,兩日前而家,喺而家之後兩日,四日,喺而家之前四日,由而家開始四日,三日,喺而家之前三日,由而家開始三日,1,1,1,1,1,Eurasia,23,113,yuec1235,yue,Sino-Tibetan,Chinese,CN,,Cantonese,yuec1235,Yue Chinese,China,0-5%,0-5%,0-5%,16-25%,76-85%,1940,,None,,,,,,,,,,,,,,
Abkhaz,иацы,иахьа,уаҵәы,Амш,иацтәи амш,уаҵәашьҭахьтәи амш,ҩымш,ҩымш раԥхьа,ҩымш рышьҭахь уажәшьҭа,ԥшьымш,Уажәы ԥшьымш раԥхьа,Уажәшьҭа ԥшьымш рышьҭахь,Хымш,Уажәы хымш раԥхьа,Уажәшьҭа хымш рышьҭахь,1,1,1,0,0,Eurasia,43.08333333,41,abkh1244,abk,Northwest Caucasian,Northwest Caucasian,GE,Ci12,Abkhaz,abkh1244,Abkhaz,Caucasus,6-15%,0-5%,0-5%,56-65%,26-35%,1880,,,,200-399,,,,,,,,,,,,
Acehnese,baroe,uronyo,singeuh,uroe nyan,uroe seugohlom bunoe,uroe lheuh singoh,dua uroe,dua uroe seugohlom jinoe .,dua uroe lheuh jinoe .,peuet uroe,peuet uroe seugohlom jinoe .,peuet uroe teuk nibak jinoe,lhee uroe,lhee uroe seugolom jinoe .,lhee uroe teuk nibak jinoe,1,1,1,0.5,0.5,Eurasia,5.5,95.5,achi1257,ace,Austronesian,Malayo-Sumbawan,ID,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Qafar(Afar),kimal,asaaku,beera,ayro,kimal naharat tan ayro,beeraak lakal tan ayro,namma ayro,namma ayrok naharal,namma ayrok lakal,affara ayro,affara ayrok naharal,Tawakaak xabba haanam affara ayroh addat,sidiica ayro,sidiica ayrok naharal,sidiica ayrok xabba haanam,1,1,1,0,0.5,Africa,12,42,afar1241,aar,Afro-Asiatic,Lowland East Cushitic,ET ER DJ,Ca6,Afar,afar1241,Afar,Northeast Tropical Africa,6-15%,0-5%,6-15%,76-85%,0-5%,1880,,110000,1950,100-199,,,,,,,,,,,,
Arabic,أمس,اليوم,غدًا,اليوم,قبل أمس,بعد غد,يومين,يومين قبل الآن,يومين بعد الآن,أربعة أيام,أربعة أيام قبل الآن,أربعة أيام من الآن,ثلاثة أيام,ثلاثة أيام قبل الآن,ثلاثة أيام من الآن,1,1,1,0.5,0.5,Eurasia,25,42,stan1318,arb,Afro-Asiatic,Semitic,KW SO SY OM QA EG TN MA LY KM JO LB ER YE SA IQ PS DZ AE BH SD IL,Cd18,Saadi,said1239,Saidi Arabic,Northern Africa,0-5%,6-15%,0-5%,56-65%,26-35%,1920,,38000,1940,Missing data,None,,,,,,,,,,,
Alur,ma nyaworu,tin,urwo,ceng,ceng ma ukadhu,ceng ma lubo urwo,nindu aryo,nindo aryo mapodi kawoni,nindo aryo ingey kawoni,nindu angwen,nindo angwen mapodi kawoni,nindo angwen nicaku kawoni,nindu adek,nindo adek mapodi kawoni,nindo adek nicaku kawoni,1,1,1,0,0,Africa,2.36,31,alur1250,alz,Nilo-Saharan,Nilotic,,Aj17,Alur,alur1250,Alur,West-Central Tropical Africa,0-5%,6-15%,16-25%,16-25%,46-55%,1890,,200000,,,,,,,,,,,,,,
Amharic,ትናንት,ዛሬ,ነገ,ቀኑ,ከትናንት በፊት ባለው ቀን,ከነገ ወዲያ,ሁለት ቀናት,አሁን ከሁለት ቀናት በፊት,ከሁለት ቀናት በኋላ,አራት ቀናት,ከአራት ቀናት በፊት,ከአራት ቀናት በኋላ,ሶስት ቀናት,አሁን ከሶስት ቀናት በፊት,ከሦስት ቀናት በኋላ,1,1,1,0.5,0,Africa,10,38,amha1245,amh,Afro-Asiatic,Semitic,ET,Ca7,Amhara,amha1245,Amharic,Northeast Tropical Africa,0-5%,0-5%,6-15%,26-35%,56-65%,1950,Gondar district,22000,1953,50000,,,,,,,,,,,,
Acholi,la woro,tin,diki,nino ni,nino ma okato前一天,nino ma lubo diki后天 明天,nino aryo,nino aryo ma peya i kare ni,nino aryo inge kombedi,nino angwen,nino angwen ma peya i kare ni,nino angwen ki kombedi,nino adek,nino adek ma peya i kare ni,nino adek ki kombedi,1,1,1,0,0,Africa,3,32.66666667,acol1236,ach,Nilo-Saharan,Western Nilotic,UG SS,Ai32,Lugbara,lugb1240,Lugbara,East Tropical Africa,6-15%,0-5%,0-5%,36-45%,46-55%,1920,,240000,1929,,,,,,,,,,,,,
Assamese,কালি,আজি,কাইলৈ,দিনটো,কালিৰ আগদিনা,কাইলৈৰ পিছদিনা,দুদিন,এতিয়াৰ দুদিন আগতে,এতিয়াৰ দুদিন পিছত,চাৰিদিন,এতিয়াৰ চাৰিদিন আগতে,চাৰিদিন পিছত,তিনিদিন,এতিয়াৰ তিনিদিন আগতে,তিনিদিন পিছত,1,1,1,0.5,0.5,Eurasia,26,93,assa1263,asm,Indo-European,Indic,IN,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Azerbaijani,dünən,bu gün,sabah,gün,dünənki gün,sabahdan sonra,iki gün,indidən iki gün əvvəl,iki gün sonra,dörd gün,indi dörd gün əvvəl,bundan dörd gün sonra,üç gün,indidən üç gün əvvəl,indidən üç gün sonra,1,1,1,0.5,0.5,Eurasia,40.5,48.5,azer1255,azb azj,Altaic,Turkic,AZ IR,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Awadhi,काल्हि,आजु,आवय वाला काल्हि,दिन,कल से पहिले दिन,परसों के बाद का दिन,दुइ दिन,अब से दुइ दिन पहिले,अब दुइ दिन बाद,चार दिन,अब से चार दिन पहिले,अब से चार दिन बाद,तीन दिन,अब से तीन दिन पहिले,अब से तीन दिन बाद,1,1,0.5,0.5,0.5,Eurasia,27.5,81.5,awad1243,awa,Indo-European,Indic,IN NP,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Avar,сон,жакъа,метер,къо;,Метер цебесеб къоялъ .,Нолъ хадусеб къо .明天 后天,кӀиго къо,гьанже кӀиго къоялъ цебе,гьанже кӀиго къоялдасан,Лъабго къо .,Ункъо къоялъ цебе .,Гьанжеялдаса ункъо къоялдасан .,Лъабго къо .,Лъабго къоялъ цебе,Гьанжеялдаса лъабго къоялдасан .,1,1,1,0.5,0,Eurasia,42.5,46.5,avar1256,ava,Northeast Caucasian,Avar-Andic-Tsezic,AZ RU,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Aymara,wasüru,jichhüru,qharüru,uka uruxa,qharüru nayrïr uru,qharüru qhipa uru,pä uru,pä uru nayraqata,pä uru qhipatsti,pusi uru,pusi uru nayraqata,pusi urunak saraqataruw purini,kimsa uru,kimsa uru nayraqata,kimsa urut jichhakama,1,1,1,0.5,0,South America,-17,-69,cent2142,ayr,Aymaran,Aymaran,,Sf2,Aymara,cent2142,Central Aymara,Western South America,0-5%,0-5%,6-15%,26-35%,56-65%,1940,,600000,1936,,,,,,,,,,,,,
Balinese,ibi,dina jani,binmani,rahina,rahina sadurung dibi,rahina benjang,kalih rahina,kalih rahina sadurung mangkin,kalih rahina sasampun mangkin,petang rahina,petang rahina sadurung mangkin,petang rahina saking mangkin,tigang rahina,tigang rahina sadurung mangkin,tigang rahina saking mangkin,1,1,1,0.5,0,Papunesia,-8.333333333,115.25,bali1278,ban,Austronesian,Malayo-Sumbawan,ID,Ib3,Balinese,bali1278,Balinese,Malesia,0-5%,0-5%,0-5%,26-35%,66-75%,1950,,1000000,1959,200-399,,,,,,,,,,,,
Balochi,زِی,مرچی,باندا,روش,کل ئا شہ پیشا روش,باندا پذا روش,دو روش,کل ئا شہ پیشا روش,باندا پذا روش,چار روش,چہ نوں چار روچ پیسر,چار روچ ءَ پد,سئے روش,چہ نوں سئے روچ پیسر,چہ نوں سئے روچ ءَ,1,1,1,0,0.5,Eurasia,28,62,west2368,bgn,Indo-European,Iranian,,Ea10,Marri,east2304,Eastern Balochi,Indian Subcontinent,6-15%,0-5%,0-5%,46-55%,36-45%,1950,,60000,1955,50,,,,,,,,,,,,
